meanSize,ModifiedGreedyKnapsack Avg,GreedyKnapsack Avg,ModifiedGreedyKnapsack Min,GreedyKnapsack Min
0.15000000000000002,0.9897131165898652,0.9882346100481436,0.9204347458632985,0.8919165285579344
0.2,0.9887611324289103,0.9865025473704946,0.8962008034129263,0.8800718999234228
0.25,0.9877660541587281,0.98448797300254,0.9006151082001548,0.900150457259289
0.30000000000000004,0.9855244198327333,0.9820978405915866,0.842804045341958,0.842804045341958
0.35000000000000003,0.9865700628803986,0.9800413716422809,0.8507154119499336,0.805129405307786
0.4,0.9852934708351972,0.9740905358527884,0.8363101974423545,0.8017976788526431
0.45,0.9827030791656833,0.9703487602785092,0.8148982862213893,0.7628179369792915
0.5,0.9761894642337265,0.9645408340144476,0.7721548514693154,0.7642468623245539
0.55,0.9662272391172203,0.9568733757331093,0.7286223416095505,0.7008871742472164
0.6000000000000001,0.9669584878366178,0.9550547875690625,0.7144158203535976,0.6492400041822523
0.65,0.9702922125692165,0.9458296291629792,0.714078751508456,0.6489489775302192
0.7000000000000001,0.980537221048652,0.9262417399530252,0.742618758716134,0.6172549945863612
0.75,0.994078297285559,0.9224727934345854,0.7803252987583328,0.5075877043887277
0.8,0.9994738980255904,0.9282577490787922,0.7855304182940203,0.5832546557905643
0.8500000000000001,0.9995861789905139,0.9346878003402102,0.8475881875679628,0.47944574549150404
0.9,1.0,0.9440540817424036,1.0,0.5776253362842739
0.9500000000000001,0.9999684269043949,0.9620145433419712,0.9684269043949287,0.5838126407200728
