n,ModifiedGreedyKnapsack Avg,GreedyKnapsack Avg,ModifiedGreedyKnapsack Min,GreedyKnapsack Min
2,1.0,0.9641123072990813,1.0,0.052947275134433466
4,0.9991319901284467,0.9396526574956325,0.8456425854950369,0.11193099132128535
8,0.9937646357060008,0.9413640756816404,0.7716871121148581,0.43457599444545747
16,0.9885958564059619,0.9527444970577187,0.716476363706489,0.5286023782516295
32,0.9872187223209542,0.9687495394956358,0.8475117154781974,0.618808732733818
64,0.9893738031787817,0.9805566296642056,0.8959440337975075,0.8507787193965368
128,0.9911856416109802,0.9867410936919916,0.9039028747444223,0.9039028747444223
256,0.9943679605900005,0.9924489024879761,0.9602618582277889,0.9576271364425925
512,0.9964157558694362,0.9954577686703693,0.9774335319984837,0.9710356779470353
1024,0.9976144403704775,0.9971661611061545,0.9867571723411099,0.9819930984349691
